email,street,city,state,zip,cc_num,cc_exp,cc_cvv,cc_name,name
user1@example.com,1215 4th Ave,Seattle,WA,98161,12345678,,360,User One,User One
user2@example.com,1216 4th Ave,Seattle,WA,98161,12345679,,139,User Two,User Two
user3@example.com,1217 4th Ave,Seattle,WA,98161,12345680,,275,User Three,User Three
user4@example.com,1218 4th Ave,Seattle,WA,98161,12345681,,842,User Four,User Four
user5@example.com,1219 4th Ave,Seattle,WA,98161,12345682,,119,User Five,User Five
user6@example.com,1220 4th Ave,Seattle,WA,98161,12345683,,600,User Six,User Six
user7@example.com,1221 4th Ave,Seattle,WA,98161,12345684,,858,User Seven,User Seven
user8@example.com,1222 4th Ave,Seattle,WA,98161,12345685,,858,User Eight,User Eight
user9@example.com,1223 4th Ave,Seattle,WA,98161,12345686,,844,User Nine,User Nine
user10@example.com,1224 4th Ave,Seattle,WA,98161,12345687,,930,User Ten,User Ten
